Timestamp,RecBy,DelDate,SID,BID,PID,Dimention,ItemColor,BulbCollor,Remote,Remark,Action,Discount,Price,Qty,ShipPrice,InstallationPrice,SumPrice,Pay1Date,Pay1Price,Pay1Ch,TAX1ShipDate,Pay2Date,Pay2Price,Pay2Ch,TAX2ShipDate,CommissionID,Profit
02/07/2025 17:00:00,EID0001,,S250422090012,BD250422000000,AC025-6,กว้าง*ยาว*สูง(CM),,,ON/OFF,,ทีมช่างกี,,49900,1,1000,5000,49900,45659,24950,,,45663,24950,,,,
04/07/2025 08:46:50,EID0001,,S250422100222,BD250422000001,AC052,กว้าง*ยาว*สูง(CM),,,"DIMER+WW,CW",,ทีมช่างชัย,,23000,1,0,1000,23000,45641,21000,,,45806,2000,,,,
05/07/2025 10:37:25,EID0001,,S250422110432,BD250422000002,AC028-5,กว้าง*ยาว*สูง(CM),,,NON,,ทีมQC,,19000,1,0,1000,19000,45488,9500,,,,,,,,
08/07/2025 13:53:34,EID0001,,S250422120642,BD250422000003,WPXXX,กว้าง*ยาว*สูง(CM),,,,,จัดส่ง Bubble,,3500,1,0,1000,3500,45645,500,,,45806,3000,,,,
12/07/2025 20:58:21,EID0001,,S250422130852,BD250422000004,AC052,กว้าง*ยาว*สูง(CM),,,,,รับของเอง,,34000,1,2000,2000,34000,45579,20000,,,45966,14000,,,,
14/07/2025 17:33:46,EID0001,,S250422141062,BD250422000005,AC052-Cball,กว้าง*ยาว*สูง(CM),,,,,ฝากช่าง,,30000,1,0,2000,30000,45579,15000,,,45586,15000,,,,
19/07/2025 12:16:34,EID0001,,S250422151272,BD250422000006,XXXXX,กว้าง*ยาว*สูง(CM),,,,,Lalamove,,23000,1,0,2000,23000,45579,11000,,,45586,12000,,,,
29/07/2025 12:54:29,EID0001,,S250422161482,BD250422000007,MM03-6,กว้าง*ยาว*สูง(CM),,,,,COD Bubble,,8000,1,0,2000,8000,45579,4000,,,45586,4000,,,,
